text,intent
Hello BookMate,greeting
Hi there,greeting
Good morning,greeting
Good afternoon,greeting
Good evening,greeting
Hey BookMate,greeting
Greetings,greeting
Is anyone online?,greeting
Can someone help me?,greeting
I need assistance,greeting
Nice to meet you,greeting
Hello there,greeting
Hi BookMate chatbot,greeting
Good day,greeting
Morning BookMate,greeting
Evening BookMate,greeting
"Hi, I have a question",greeting
"Hello, can I ask something?",greeting
"Hey, need help with hotel",greeting
Hi BookMate team,greeting
Good day BookMate,greeting
"Hello, is this resort support?",greeting
"Hi, are you active?",greeting
Hey there chatbot,greeting
"Hello, I want to inquire about resort",greeting
what can you do?,greeting
what can u do?,greeting
what can you do for me?,greeting
what services do you offer?,greeting
what features do you have?,greeting
how can you help me?,greeting
help me,greeting
what are your capabilities?,greeting
what options do you have?,greeting
show me what you can do,greeting
how to use this chatbot?,greeting
help,greeting
what can i ask you?,greeting
what services are supported?,greeting
Is Room Type F available at Resort Hotel for Christine Sanders?,availability
Do you have room availability for 2 adults in December 2016?,availability
I want to book Room Type F for 2 guests at Resort Hotel,book_room
Can I reserve a room for Christine Sanders for 7 nights?,book_room
How much is Room Type F at rate 66.8 per night?,room_price
What is the average daily rate for Resort Hotel in December?,room_price
Is BB meal package included for Christine Sanders's room?,breakfast
What breakfast package is available for Room Type F?,breakfast
Do you provide 0 parking space for reservation under Christine Sanders?,parking
Is parking space available at Resort Hotel for guest 530-703-7317?,parking
Can I cancel my booking under Christine Sanders?,cancel_booking
What is the cancellation policy for No Deposit reservation at Resort Hotel?,cancel_booking
Check reservation status for Christine Sanders with status Check-Out,booking_status
Is booking status for Christine Sanders confirmed at Resort Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Christine Sanders?,payment
Do I need to pay deposit No Deposit for Room Type F?,payment
What facilities are available at Resort Hotel for Transient guests?,hotel_facilities
"Does Resort Hotel feature a swimming pool, spa and gym for Christine Sanders?",hotel_facilities
What are the check-in times at Resort Hotel for arrival on 2 December?,checkin_checkout
Can guest Christine Sanders request early check-in or late check-out at Resort Hotel?,checkin_checkout
I want to modify booking dates for guest Christine Sanders at Resort Hotel,modify_booking
Can I change my reservation from 7 nights for Christine Sanders?,modify_booking
Is Room Type A available at City Hotel for Mr. Jason Cooper?,availability
Do you have room availability for 2 adults in July 2015?,availability
I want to book Room Type A for 2 guests at City Hotel,book_room
Can I reserve a room for Mr. Jason Cooper for 3 nights?,book_room
How much is Room Type A at rate 76.5 per night?,room_price
What is the average daily rate for City Hotel in July?,room_price
Is BB meal package included for Mr. Jason Cooper's room?,breakfast
What breakfast package is available for Room Type A?,breakfast
Do you provide 0 parking space for reservation under Mr. Jason Cooper?,parking
Is parking space available at City Hotel for guest 897-631-4121?,parking
Can I cancel my booking under Mr. Jason Cooper?,cancel_booking
What is the cancellation policy for No Deposit reservation at City Hotel?,cancel_booking
Check reservation status for Mr. Jason Cooper with status Canceled,booking_status
Is booking status for Mr. Jason Cooper confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Mr. Jason Cooper?,payment
Do I need to pay deposit No Deposit for Room Type A?,payment
What facilities are available at City Hotel for Transient guests?,hotel_facilities
"Does City Hotel feature a swimming pool, spa and gym for Mr. Jason Cooper?",hotel_facilities
What are the check-in times at City Hotel for arrival on 16 July?,checkin_checkout
Can guest Mr. Jason Cooper request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Mr. Jason Cooper at City Hotel,modify_booking
